機車竊盜概況,發生數,破獲數,類別
108年 12月/ 臺東縣 ,1,2,機車竊盜
108年 12月/ 花蓮縣 ,7,5,機車竊盜
108年 12月/ 澎湖縣 ,0,0,機車竊盜
108年 12月/ 基隆市 ,3,4,機車竊盜
108年 12月/ 新竹市 ,26,25,機車竊盜
108年 12月/ 嘉義市 ,2,0,機車竊盜
108年 12月/ 金門縣 ,1,0,機車竊盜
108年 12月/ 連江縣 ,0,0,機車竊盜
109年 1月/ 新北市 ,87,94,機車竊盜
109年 1月/ 臺北市 ,36,29,機車竊盜
109年 1月/ 桃園市 ,85,101,機車竊盜
109年 1月/ 臺中市 ,45,45,機車竊盜
109年 1月/ 臺南市 ,23,21,機車竊盜
109年 1月/ 高雄市 ,39,36,機車竊盜
109年 1月/ 宜蘭縣 ,7,6,機車竊盜
109年 1月/ 新竹縣 ,22,22,機車竊盜
109年 1月/ 苗栗縣 ,16,11,機車竊盜
109年 1月/ 彰化縣 ,7,7,機車竊盜
109年 1月/ 南投縣 ,7,6,機車竊盜
109年 1月/ 雲林縣 ,9,6,機車竊盜
109年 1月/ 嘉義縣 ,3,1,機車竊盜
109年 1月/ 屏東縣 ,18,15,機車竊盜
109年 1月/ 臺東縣 ,4,4,機車竊盜
109年 1月/ 花蓮縣 ,5,7,機車竊盜
109年 1月/ 澎湖縣 ,1,1,機車竊盜
109年 1月/ 基隆市 ,4,2,機車竊盜
109年 1月/ 新竹市 ,15,20,機車竊盜
109年 1月/ 嘉義市 ,4,2,機車竊盜
109年 1月/ 金門縣 ,1,2,機車竊盜
109年 1月/ 連江縣 ,0,0,機車竊盜
109年 2月/ 新北市 ,91,121,機車竊盜
109年 2月/ 臺北市 ,36,43,機車竊盜
109年 2月/ 桃園市 ,96,195,機車竊盜
109年 2月/ 臺中市 ,21,34,機車竊盜
109年 2月/ 臺南市 ,23,22,機車竊盜
109年 2月/ 高雄市 ,41,54,機車竊盜
109年 2月/ 宜蘭縣 ,7,12,機車竊盜
109年 2月/ 新竹縣 ,24,13,機車竊盜
109年 2月/ 苗栗縣 ,7,14,機車竊盜
109年 2月/ 彰化縣 ,5,5,機車竊盜
109年 2月/ 南投縣 ,8,10,機車竊盜
109年 2月/ 雲林縣 ,7,10,機車竊盜
109年 2月/ 嘉義縣 ,8,6,機車竊盜
109年 2月/ 屏東縣 ,17,19,機車竊盜
109年 2月/ 臺東縣 ,4,3,機車竊盜
109年 2月/ 花蓮縣 ,4,2,機車竊盜
109年 2月/ 澎湖縣 ,0,0,機車竊盜
109年 2月/ 基隆市 ,6,9,機車竊盜
109年 2月/ 新竹市 ,18,24,機車竊盜
109年 2月/ 嘉義市 ,0,0,機車竊盜
109年 2月/ 金門縣 ,0,0,機車竊盜
109年 2月/ 連江縣 ,0,0,機車竊盜
109年 3月/ 新北市 ,87,121,機車竊盜
109年 3月/ 臺北市 ,30,36,機車竊盜
109年 3月/ 桃園市 ,86,127,機車竊盜
109年 3月/ 臺中市 ,40,44,機車竊盜
109年 3月/ 臺南市 ,32,36,機車竊盜
109年 3月/ 高雄市 ,52,58,機車竊盜
109年 3月/ 宜蘭縣 ,12,11,機車竊盜
109年 3月/ 新竹縣 ,12,16,機車竊盜
109年 3月/ 苗栗縣 ,10,12,機車竊盜
109年 3月/ 彰化縣 ,17,19,機車竊盜
109年 3月/ 南投縣 ,11,7,機車竊盜
109年 3月/ 雲林縣 ,17,20,機車竊盜
109年 3月/ 嘉義縣 ,2,6,機車竊盜
109年 3月/ 屏東縣 ,9,6,機車竊盜
109年 3月/ 臺東縣 ,2,3,機車竊盜
109年 3月/ 花蓮縣 ,4,8,機車竊盜
109年 3月/ 澎湖縣 ,1,2,機車竊盜
109年 3月/ 基隆市 ,5,5,機車竊盜
109年 3月/ 新竹市 ,13,15,機車竊盜
109年 3月/ 嘉義市 ,6,4,機車竊盜
109年 3月/ 金門縣 ,0,0,機車竊盜
109年 3月/ 連江縣 ,0,0,機車竊盜
109年 4月/ 新北市 ,93,105,機車竊盜
109年 4月/ 臺北市 ,19,29,機車竊盜
109年 4月/ 桃園市 ,95,121,機車竊盜
109年 4月/ 臺中市 ,40,47,機車竊盜
109年 4月/ 臺南市 ,19,19,機車竊盜
109年 4月/ 高雄市 ,53,46,機車竊盜
109年 4月/ 宜蘭縣 ,7,6,機車竊盜
109年 4月/ 新竹縣 ,19,20,機車竊盜
109年 4月/ 苗栗縣 ,13,18,機車竊盜
109年 4月/ 彰化縣 ,21,24,機車竊盜
109年 4月/ 南投縣 ,10,13,機車竊盜
109年 4月/ 雲林縣 ,6,5,機車竊盜
109年 4月/ 嘉義縣 ,2,2,機車竊盜
109年 4月/ 屏東縣 ,4,5,機車竊盜
109年 4月/ 臺東縣 ,0,0,機車竊盜
109年 4月/ 花蓮縣 ,7,6,機車竊盜
109年 4月/ 澎湖縣 ,0,0,機車竊盜
109年 4月/ 基隆市 ,3,4,機車竊盜
109年 4月/ 新竹市 ,14,19,機車竊盜
109年 4月/ 嘉義市 ,3,8,機車竊盜
109年 4月/ 金門縣 ,1,1,機車竊盜
109年 4月/ 連江縣 ,0,0,機車竊盜
109年 5月/ 新北市 ,77,99,機車竊盜
109年 5月/ 臺北市 ,27,40,機車竊盜
109年 5月/ 桃園市 ,60,86,機車竊盜
109年 5月/ 臺中市 ,31,38,機車竊盜
109年 5月/ 臺南市 ,22,23,機車竊盜
109年 5月/ 高雄市 ,30,37,機車竊盜
109年 5月/ 宜蘭縣 ,7,5,機車竊盜
109年 5月/ 新竹縣 ,17,15,機車竊盜
109年 5月/ 苗栗縣 ,7,7,機車竊盜
109年 5月/ 彰化縣 ,7,9,機車竊盜
109年 5月/ 南投縣 ,7,8,機車竊盜
109年 5月/ 雲林縣 ,9,13,機車竊盜
109年 5月/ 嘉義縣 ,4,4,機車竊盜
109年 5月/ 屏東縣 ,10,6,機車竊盜
109年 5月/ 臺東縣 ,2,3,機車竊盜
109年 5月/ 花蓮縣 ,0,2,機車竊盜
109年 5月/ 澎湖縣 ,1,1,機車竊盜
109年 5月/ 基隆市 ,2,1,機車竊盜
109年 5月/ 新竹市 ,24,23,機車竊盜
109年 5月/ 嘉義市 ,3,1,機車竊盜
109年 5月/ 金門縣 ,0,0,機車竊盜
109年 5月/ 連江縣 ,0,0,機車竊盜
109年 6月/ 新北市 ,93,98,機車竊盜
109年 6月/ 臺北市 ,26,24,機車竊盜
109年 6月/ 桃園市 ,58,67,機車竊盜
109年 6月/ 臺中市 ,46,48,機車竊盜
109年 6月/ 臺南市 ,14,11,機車竊盜
109年 6月/ 高雄市 ,42,47,機車竊盜
109年 6月/ 宜蘭縣 ,5,6,機車竊盜
109年 6月/ 新竹縣 ,8,9,機車竊盜
109年 6月/ 苗栗縣 ,4,9,機車竊盜
109年 6月/ 彰化縣 ,13,14,機車竊盜
109年 6月/ 南投縣 ,6,5,機車竊盜
109年 6月/ 雲林縣 ,6,5,機車竊盜
109年 6月/ 嘉義縣 ,5,5,機車竊盜
109年 6月/ 屏東縣 ,7,7,機車竊盜
109年 6月/ 臺東縣 ,4,4,機車竊盜
109年 6月/ 花蓮縣 ,5,5,機車竊盜
109年 6月/ 澎湖縣 ,0,0,機車竊盜
109年 6月/ 基隆市 ,5,7,機車竊盜
109年 6月/ 新竹市 ,15,13,機車竊盜
109年 6月/ 嘉義市 ,3,4,機車竊盜
109年 6月/ 金門縣 ,0,0,機車竊盜
109年 6月/ 連江縣 ,0,0,機車竊盜
109年 7月/ 新北市 ,73,92,機車竊盜
109年 7月/ 臺北市 ,18,22,機車竊盜
109年 7月/ 桃園市 ,66,77,機車竊盜
109年 7月/ 臺中市 ,33,35,機車竊盜
109年 7月/ 臺南市 ,17,16,機車竊盜
109年 7月/ 高雄市 ,38,48,機車竊盜
109年 7月/ 宜蘭縣 ,8,9,機車竊盜
109年 7月/ 新竹縣 ,22,20,機車竊盜
109年 7月/ 苗栗縣 ,12,9,機車竊盜
109年 7月/ 彰化縣 ,14,18,機車竊盜
109年 7月/ 南投縣 ,8,9,機車竊盜
109年 7月/ 雲林縣 ,6,7,機車竊盜
109年 7月/ 嘉義縣 ,5,5,機車竊盜
109年 7月/ 屏東縣 ,3,4,機車竊盜
109年 7月/ 臺東縣 ,0,1,機車竊盜
109年 7月/ 花蓮縣 ,5,4,機車竊盜
109年 7月/ 澎湖縣 ,0,0,機車竊盜
109年 7月/ 基隆市 ,5,6,機車竊盜
109年 7月/ 新竹市 ,15,14,機車竊盜
109年 7月/ 嘉義市 ,5,5,機車竊盜
109年 7月/ 金門縣 ,0,0,機車竊盜
109年 7月/ 連江縣 ,0,0,機車竊盜
109年 8月/ 新北市 ,82,114,機車竊盜
109年 8月/ 臺北市 ,26,22,機車竊盜
109年 8月/ 桃園市 ,65,71,機車竊盜
109年 8月/ 臺中市 ,35,43,機車竊盜
109年 8月/ 臺南市 ,22,23,機車竊盜
109年 8月/ 高雄市 ,30,46,機車竊盜
109年 8月/ 宜蘭縣 ,9,5,機車竊盜
109年 8月/ 新竹縣 ,16,22,機車竊盜
109年 8月/ 苗栗縣 ,8,14,機車竊盜
109年 8月/ 彰化縣 ,13,9,機車竊盜
109年 8月/ 南投縣 ,4,5,機車竊盜
109年 8月/ 雲林縣 ,9,8,機車竊盜
109年 8月/ 嘉義縣 ,7,7,機車竊盜
109年 8月/ 屏東縣 ,11,8,機車竊盜
109年 8月/ 臺東縣 ,7,4,機車竊盜
109年 8月/ 花蓮縣 ,6,7,機車竊盜
109年 8月/ 澎湖縣 ,1,1,機車竊盜
109年 8月/ 基隆市 ,4,4,機車竊盜
109年 8月/ 新竹市 ,12,11,機車竊盜
109年 8月/ 嘉義市 ,4,0,機車竊盜
109年 8月/ 金門縣 ,1,1,機車竊盜
109年 8月/ 連江縣 ,0,0,機車竊盜
109年 9月/ 新北市 ,67,102,機車竊盜
109年 9月/ 臺北市 ,23,24,機車竊盜
109年 9月/ 桃園市 ,53,61,機車竊盜
109年 9月/ 臺中市 ,36,35,機車竊盜
109年 9月/ 臺南市 ,20,20,機車竊盜
109年 9月/ 高雄市 ,37,34,機車竊盜
109年 9月/ 宜蘭縣 ,8,9,機車竊盜
109年 9月/ 新竹縣 ,11,13,機車竊盜
109年 9月/ 苗栗縣 ,3,8,機車竊盜
109年 9月/ 彰化縣 ,13,17,機車竊盜
109年 9月/ 南投縣 ,6,7,機車竊盜
109年 9月/ 雲林縣 ,8,8,機車竊盜
109年 9月/ 嘉義縣 ,4,3,機車竊盜
109年 9月/ 屏東縣 ,0,5,機車竊盜
109年 9月/ 臺東縣 ,1,4,機車竊盜
109年 9月/ 花蓮縣 ,0,1,機車竊盜
109年 9月/ 澎湖縣 ,2,3,機車竊盜
109年 9月/ 基隆市 ,3,2,機車竊盜
109年 9月/ 新竹市 ,5,14,機車竊盜
109年 9月/ 嘉義市 ,1,3,機車竊盜
109年 9月/ 金門縣 ,1,0,機車竊盜
109年 9月/ 連江縣 ,0,0,機車竊盜
109年 10月/ 新北市 ,61,105,機車竊盜
109年 10月/ 臺北市 ,23,29,機車竊盜
109年 10月/ 桃園市 ,73,85,機車竊盜
109年 10月/ 臺中市 ,33,37,機車竊盜
109年 10月/ 臺南市 ,27,26,機車竊盜
109年 10月/ 高雄市 ,30,35,機車竊盜
109年 10月/ 宜蘭縣 ,12,8,機車竊盜
109年 10月/ 新竹縣 ,15,13,機車竊盜
109年 10月/ 苗栗縣 ,5,5,機車竊盜
109年 10月/ 彰化縣 ,9,10,機車竊盜
109年 10月/ 南投縣 ,8,9,機車竊盜
109年 10月/ 雲林縣 ,3,5,機車竊盜
109年 10月/ 嘉義縣 ,10,11,機車竊盜
109年 10月/ 屏東縣 ,7,6,機車竊盜
109年 10月/ 臺東縣 ,9,10,機車竊盜
109年 10月/ 花蓮縣 ,2,2,機車竊盜
109年 10月/ 澎湖縣 ,0,1,機車竊盜
109年 10月/ 基隆市 ,2,2,機車竊盜
109年 10月/ 新竹市 ,12,14,機車竊盜
109年 10月/ 嘉義市 ,3,5,機車竊盜
109年 10月/ 金門縣 ,0,0,機車竊盜
109年 10月/ 連江縣 ,0,0,機車竊盜
109年 11月/ 新北市 ,71,87,機車竊盜
109年 11月/ 臺北市 ,13,18,機車竊盜
109年 11月/ 桃園市 ,79,91,機車竊盜
109年 11月/ 臺中市 ,32,32,機車竊盜
109年 11月/ 臺南市 ,29,25,機車竊盜
109年 11月/ 高雄市 ,30,30,機車竊盜
109年 11月/ 宜蘭縣 ,14,13,機車竊盜
109年 11月/ 新竹縣 ,18,10,機車竊盜
109年 11月/ 苗栗縣 ,5,8,機車竊盜
109年 11月/ 彰化縣 ,9,8,機車竊盜
109年 11月/ 南投縣 ,3,1,機車竊盜
109年 11月/ 雲林縣 ,6,6,機車竊盜
109年 11月/ 嘉義縣 ,3,4,機車竊盜
109年 11月/ 屏東縣 ,10,6,機車竊盜
109年 11月/ 臺東縣 ,3,1,機車竊盜
109年 11月/ 花蓮縣 ,6,2,機車竊盜
109年 11月/ 澎湖縣 ,0,0,機車竊盜
109年 11月/ 基隆市 ,6,3,機車竊盜
109年 11月/ 新竹市 ,12,16,機車竊盜
109年 11月/ 嘉義市 ,3,1,機車竊盜
109年 11月/ 金門縣 ,0,0,機車竊盜
109年 11月/ 連江縣 ,4,4,機車竊盜
109年 12月/ 新北市 ,60,63,機車竊盜
109年 12月/ 臺北市 ,27,27,機車竊盜
109年 12月/ 桃園市 ,51,53,機車竊盜
109年 12月/ 臺中市 ,37,44,機車竊盜
109年 12月/ 臺南市 ,15,15,機車竊盜
109年 12月/ 高雄市 ,34,33,機車竊盜
109年 12月/ 宜蘭縣 ,8,7,機車竊盜
109年 12月/ 新竹縣 ,13,12,機車竊盜
109年 12月/ 苗栗縣 ,3,3,機車竊盜
109年 12月/ 彰化縣 ,15,12,機車竊盜
109年 12月/ 南投縣 ,6,1,機車竊盜
109年 12月/ 雲林縣 ,3,5,機車竊盜
109年 12月/ 嘉義縣 ,7,5,機車竊盜
109年 12月/ 屏東縣 ,13,9,機車竊盜
109年 12月/ 臺東縣 ,6,4,機車竊盜
109年 12月/ 花蓮縣 ,4,5,機車竊盜
109年 12月/ 澎湖縣 ,2,2,機車竊盜
109年 12月/ 基隆市 ,4,5,機車竊盜
109年 12月/ 新竹市 ,8,6,機車竊盜
109年 12月/ 嘉義市 ,2,2,機車竊盜
109年 12月/ 金門縣 ,1,0,機車竊盜
109年 12月/ 連江縣 ,0,0,機車竊盜
110年 1月/ 新北市 ,86,97,機車竊盜
110年 1月/ 臺北市 ,25,33,機車竊盜
110年 1月/ 桃園市 ,34,44,機車竊盜
110年 1月/ 臺中市 ,38,42,機車竊盜
110年 1月/ 臺南市 ,17,14,機車竊盜
110年 1月/ 高雄市 ,34,32,機車竊盜
110年 1月/ 宜蘭縣 ,8,5,機車竊盜
110年 1月/ 新竹縣 ,14,13,機車竊盜
110年 1月/ 苗栗縣 ,12,7,機車竊盜
110年 1月/ 彰化縣 ,9,9,機車竊盜
110年 1月/ 南投縣 ,5,5,機車竊盜
110年 1月/ 雲林縣 ,7,4,機車竊盜
110年 1月/ 嘉義縣 ,7,8,機車竊盜
110年 1月/ 屏東縣 ,9,13,機車竊盜
110年 1月/ 臺東縣 ,1,2,機車竊盜
110年 1月/ 花蓮縣 ,5,8,機車竊盜
110年 1月/ 澎湖縣 ,0,0,機車竊盜
110年 1月/ 基隆市 ,3,4,機車竊盜
110年 1月/ 新竹市 ,15,19,機車竊盜
110年 1月/ 嘉義市 ,1,2,機車竊盜
110年 1月/ 金門縣 ,0,0,機車竊盜
110年 1月/ 連江縣 ,0,0,機車竊盜
110年 2月/ 新北市 ,61,64,機車竊盜
110年 2月/ 臺北市 ,30,36,機車竊盜
110年 2月/ 桃園市 ,65,71,機車竊盜
110年 2月/ 臺中市 ,26,38,機車竊盜
110年 2月/ 臺南市 ,20,17,機車竊盜
110年 2月/ 高雄市 ,41,46,機車竊盜
110年 2月/ 宜蘭縣 ,7,7,機車竊盜
110年 2月/ 新竹縣 ,21,20,機車竊盜
110年 2月/ 苗栗縣 ,8,8,機車竊盜
110年 2月/ 彰化縣 ,11,10,機車竊盜
110年 2月/ 南投縣 ,14,11,機車竊盜
110年 2月/ 雲林縣 ,4,4,機車竊盜
110年 2月/ 嘉義縣 ,2,3,機車竊盜
110年 2月/ 屏東縣 ,7,6,機車竊盜
110年 2月/ 臺東縣 ,1,1,機車竊盜
110年 2月/ 花蓮縣 ,5,4,機車竊盜
110年 2月/ 澎湖縣 ,0,0,機車竊盜
110年 2月/ 基隆市 ,10,7,機車竊盜
110年 2月/ 新竹市 ,14,16,機車竊盜
110年 2月/ 嘉義市 ,0,0,機車竊盜
110年 2月/ 金門縣 ,0,0,機車竊盜
110年 2月/ 連江縣 ,0,0,機車竊盜
110年 3月/ 新北市 ,63,70,機車竊盜
110年 3月/ 臺北市 ,31,39,機車竊盜
110年 3月/ 桃園市 ,46,68,機車竊盜
110年 3月/ 臺中市 ,34,42,機車竊盜
110年 3月/ 臺南市 ,34,33,機車竊盜
110年 3月/ 高雄市 ,34,46,機車竊盜
110年 3月/ 宜蘭縣 ,6,6,機車竊盜
110年 3月/ 新竹縣 ,10,12,機車竊盜
110年 3月/ 苗栗縣 ,6,8,機車竊盜
110年 3月/ 彰化縣 ,5,9,機車竊盜
110年 3月/ 南投縣 ,13,10,機車竊盜
110年 3月/ 雲林縣 ,15,16,機車竊盜
110年 3月/ 嘉義縣 ,4,5,機車竊盜
110年 3月/ 屏東縣 ,10,9,機車竊盜
110年 3月/ 臺東縣 ,2,3,機車竊盜
110年 3月/ 花蓮縣 ,6,4,機車竊盜
110年 3月/ 澎湖縣 ,2,2,機車竊盜
110年 3月/ 基隆市 ,13,12,機車竊盜
110年 3月/ 新竹市 ,11,18,機車竊盜
110年 3月/ 嘉義市 ,4,5,機車竊盜
110年 3月/ 金門縣 ,0,0,機車竊盜
110年 3月/ 連江縣 ,0,0,機車竊盜
110年 4月/ 新北市 ,61,77,機車竊盜
110年 4月/ 臺北市 ,35,28,機車竊盜
110年 4月/ 桃園市 ,37,40,機車竊盜
110年 4月/ 臺中市 ,34,36,機車竊盜
110年 4月/ 臺南市 ,24,25,機車竊盜
110年 4月/ 高雄市 ,41,45,機車竊盜
110年 4月/ 宜蘭縣 ,10,12,機車竊盜
110年 4月/ 新竹縣 ,14,25,機車竊盜
110年 4月/ 苗栗縣 ,6,9,機車竊盜
110年 4月/ 彰化縣 ,10,11,機車竊盜
110年 4月/ 南投縣 ,12,11,機車竊盜
110年 4月/ 雲林縣 ,5,4,機車竊盜
110年 4月/ 嘉義縣 ,2,4,機車竊盜
110年 4月/ 屏東縣 ,11,13,機車竊盜
110年 4月/ 臺東縣 ,4,2,機車竊盜
110年 4月/ 花蓮縣 ,3,2,機車竊盜
110年 4月/ 澎湖縣 ,1,1,機車竊盜
110年 4月/ 基隆市 ,8,5,機車竊盜
110年 4月/ 新竹市 ,21,15,機車竊盜
110年 4月/ 嘉義市 ,4,2,機車竊盜
110年 4月/ 金門縣 ,1,0,機車竊盜
110年 4月/ 連江縣 ,0,0,機車竊盜
110年 5月/ 新北市 ,87,82,機車竊盜
110年 5月/ 臺北市 ,34,31,機車竊盜
110年 5月/ 桃園市 ,52,57,機車竊盜
110年 5月/ 臺中市 ,37,37,機車竊盜
110年 5月/ 臺南市 ,20,15,機車竊盜
110年 5月/ 高雄市 ,26,29,機車竊盜
110年 5月/ 宜蘭縣 ,10,9,機車竊盜
110年 5月/ 新竹縣 ,17,13,機車竊盜
110年 5月/ 苗栗縣 ,5,4,機車竊盜
110年 5月/ 彰化縣 ,11,9,機車竊盜
110年 5月/ 南投縣 ,8,7,機車竊盜
110年 5月/ 雲林縣 ,9,8,機車竊盜
110年 5月/ 嘉義縣 ,4,5,機車竊盜
110年 5月/ 屏東縣 ,20,18,機車竊盜
110年 5月/ 臺東縣 ,6,7,機車竊盜
110年 5月/ 花蓮縣 ,8,7,機車竊盜
110年 5月/ 澎湖縣 ,0,0,機車竊盜
110年 5月/ 基隆市 ,7,5,機車竊盜
110年 5月/ 新竹市 ,11,6,機車竊盜
110年 5月/ 嘉義市 ,1,2,機車竊盜
110年 5月/ 金門縣 ,4,3,機車竊盜
110年 5月/ 連江縣 ,0,0,機車竊盜
110年 6月/ 新北市 ,76,83,機車竊盜
110年 6月/ 臺北市 ,24,22,機車竊盜
110年 6月/ 桃園市 ,43,47,機車竊盜
110年 6月/ 臺中市 ,34,29,機車竊盜
110年 6月/ 臺南市 ,19,14,機車竊盜
110年 6月/ 高雄市 ,34,36,機車竊盜
110年 6月/ 宜蘭縣 ,8,9,機車竊盜
110年 6月/ 新竹縣 ,9,8,機車竊盜
110年 6月/ 苗栗縣 ,10,8,機車竊盜
110年 6月/ 彰化縣 ,10,14,機車竊盜
110年 6月/ 南投縣 ,5,6,機車竊盜
110年 6月/ 雲林縣 ,9,8,機車竊盜
110年 6月/ 嘉義縣 ,5,6,機車竊盜
110年 6月/ 屏東縣 ,11,10,機車竊盜
110年 6月/ 臺東縣 ,3,1,機車竊盜
110年 6月/ 花蓮縣 ,16,13,機車竊盜
110年 6月/ 澎湖縣 ,0,0,機車竊盜
110年 6月/ 基隆市 ,9,10,機車竊盜
110年 6月/ 新竹市 ,23,25,機車竊盜
110年 6月/ 嘉義市 ,1,0,機車竊盜
110年 6月/ 金門縣 ,3,3,機車竊盜
110年 6月/ 連江縣 ,0,0,機車竊盜
110年 7月/ 新北市 ,70,74,機車竊盜
110年 7月/ 臺北市 ,13,16,機車竊盜
110年 7月/ 桃園市 ,44,46,機車竊盜
110年 7月/ 臺中市 ,26,38,機車竊盜
110年 7月/ 臺南市 ,20,13,機車竊盜
110年 7月/ 高雄市 ,40,43,機車竊盜
110年 7月/ 宜蘭縣 ,9,10,機車竊盜
110年 7月/ 新竹縣 ,12,20,機車竊盜
110年 7月/ 苗栗縣 ,4,5,機車竊盜
110年 7月/ 彰化縣 ,12,11,機車竊盜
110年 7月/ 南投縣 ,5,4,機車竊盜
110年 7月/ 雲林縣 ,7,5,機車竊盜
110年 7月/ 嘉義縣 ,3,2,機車竊盜
110年 7月/ 屏東縣 ,16,16,機車竊盜
110年 7月/ 臺東縣 ,6,9,機車竊盜
110年 7月/ 花蓮縣 ,8,6,機車竊盜
110年 7月/ 澎湖縣 ,1,1,機車竊盜
110年 7月/ 基隆市 ,7,6,機車竊盜
110年 7月/ 新竹市 ,13,14,機車竊盜
110年 7月/ 嘉義市 ,2,2,機車竊盜
110年 7月/ 金門縣 ,3,3,機車竊盜
110年 7月/ 連江縣 ,0,0,機車竊盜
110年 8月/ 新北市 ,79,89,機車竊盜
110年 8月/ 臺北市 ,36,32,機車竊盜
110年 8月/ 桃園市 ,45,64,機車竊盜
110年 8月/ 臺中市 ,18,25,機車竊盜
110年 8月/ 臺南市 ,27,20,機車竊盜
110年 8月/ 高雄市 ,54,57,機車竊盜
110年 8月/ 宜蘭縣 ,10,12,機車竊盜
110年 8月/ 新竹縣 ,17,25,機車竊盜
110年 8月/ 苗栗縣 ,6,5,機車竊盜
110年 8月/ 彰化縣 ,11,10,機車竊盜
110年 8月/ 南投縣 ,7,4,機車竊盜
110年 8月/ 雲林縣 ,12,12,機車竊盜
110年 8月/ 嘉義縣 ,7,4,機車竊盜
110年 8月/ 屏東縣 ,19,21,機車竊盜
110年 8月/ 臺東縣 ,6,4,機車竊盜
110年 8月/ 花蓮縣 ,10,8,機車竊盜
110年 8月/ 澎湖縣 ,0,0,機車竊盜
110年 8月/ 基隆市 ,5,5,機車竊盜
110年 8月/ 新竹市 ,12,18,機車竊盜
110年 8月/ 嘉義市 ,0,1,機車竊盜
110年 8月/ 金門縣 ,4,2,機車竊盜
110年 8月/ 連江縣 ,0,0,機車竊盜
110年 9月/ 新北市 ,72,81,機車竊盜
110年 9月/ 臺北市 ,20,25,機車竊盜
110年 9月/ 桃園市 ,45,64,機車竊盜
110年 9月/ 臺中市 ,49,52,機車竊盜
110年 9月/ 臺南市 ,11,13,機車竊盜
110年 9月/ 高雄市 ,47,43,機車竊盜
110年 9月/ 宜蘭縣 ,9,7,機車竊盜
110年 9月/ 新竹縣 ,20,9,機車竊盜
110年 9月/ 苗栗縣 ,8,10,機車竊盜
110年 9月/ 彰化縣 ,14,16,機車竊盜
110年 9月/ 南投縣 ,7,8,機車竊盜
110年 9月/ 雲林縣 ,21,19,機車竊盜
110年 9月/ 嘉義縣 ,11,8,機車竊盜
110年 9月/ 屏東縣 ,27,16,機車竊盜
110年 9月/ 臺東縣 ,5,3,機車竊盜
110年 9月/ 花蓮縣 ,7,9,機車竊盜
110年 9月/ 澎湖縣 ,0,0,機車竊盜
110年 9月/ 基隆市 ,8,6,機車竊盜
110年 9月/ 新竹市 ,7,8,機車竊盜
110年 9月/ 嘉義市 ,3,2,機車竊盜
110年 9月/ 金門縣 ,0,1,機車竊盜
110年 9月/ 連江縣 ,0,0,機車竊盜
110年 10月/ 新北市 ,65,69,機車竊盜
110年 10月/ 臺北市 ,13,20,機車竊盜
110年 10月/ 桃園市 ,61,58,機車竊盜
110年 10月/ 臺中市 ,52,45,機車竊盜
110年 10月/ 臺南市 ,16,21,機車竊盜
110年 10月/ 高雄市 ,33,42,機車竊盜
110年 10月/ 宜蘭縣 ,8,9,機車竊盜
110年 10月/ 新竹縣 ,11,12,機車竊盜
110年 10月/ 苗栗縣 ,19,13,機車竊盜
110年 10月/ 彰化縣 ,5,4,機車竊盜
110年 10月/ 南投縣 ,9,9,機車竊盜
110年 10月/ 雲林縣 ,4,6,機車竊盜
110年 10月/ 嘉義縣 ,5,9,機車竊盜
110年 10月/ 屏東縣 ,20,25,機車竊盜
110年 10月/ 臺東縣 ,2,2,機車竊盜
110年 10月/ 花蓮縣 ,3,3,機車竊盜
110年 10月/ 澎湖縣 ,2,2,機車竊盜
110年 10月/ 基隆市 ,6,12,機車竊盜
110年 10月/ 新竹市 ,15,10,機車竊盜
110年 10月/ 嘉義市 ,2,3,機車竊盜
110年 10月/ 金門縣 ,1,1,機車竊盜
110年 10月/ 連江縣 ,0,0,機車竊盜
110年 11月/ 新北市 ,54,62,機車竊盜
110年 11月/ 臺北市 ,14,17,機車竊盜
110年 11月/ 桃園市 ,46,56,機車竊盜
110年 11月/ 臺中市 ,41,45,機車竊盜
110年 11月/ 臺南市 ,16,20,機車竊盜
110年 11月/ 高雄市 ,38,35,機車竊盜
110年 11月/ 宜蘭縣 ,11,9,機車竊盜
110年 11月/ 新竹縣 ,23,15,機車竊盜
110年 11月/ 苗栗縣 ,8,8,機車竊盜
110年 11月/ 彰化縣 ,17,11,機車竊盜
110年 11月/ 南投縣 ,6,8,機車竊盜
110年 11月/ 雲林縣 ,4,6,機車竊盜
110年 11月/ 嘉義縣 ,1,1,機車竊盜
110年 11月/ 屏東縣 ,9,8,機車竊盜
110年 11月/ 臺東縣 ,4,3,機車竊盜
110年 11月/ 花蓮縣 ,10,6,機車竊盜
110年 11月/ 澎湖縣 ,1,1,機車竊盜
110年 11月/ 基隆市 ,1,3,機車竊盜
110年 11月/ 新竹市 ,11,12,機車竊盜
110年 11月/ 嘉義市 ,2,0,機車竊盜
110年 11月/ 金門縣 ,0,0,機車竊盜
110年 11月/ 連江縣 ,0,0,機車竊盜
110年 12月/ 新北市 ,51,48,機車竊盜
110年 12月/ 臺北市 ,16,43,機車竊盜
110年 12月/ 桃園市 ,40,37,機車竊盜
110年 12月/ 臺中市 ,68,53,機車竊盜
110年 12月/ 臺南市 ,14,16,機車竊盜
110年 12月/ 高雄市 ,24,26,機車竊盜
110年 12月/ 宜蘭縣 ,10,6,機車竊盜
110年 12月/ 新竹縣 ,11,12,機車竊盜
110年 12月/ 苗栗縣 ,6,6,機車竊盜
