機車竊盜概況,發生數,破獲數,類別
107年 6月/ 彰化縣 ,12,12,機車竊盜
107年 6月/ 南投縣 ,14,10,機車竊盜
107年 6月/ 雲林縣 ,3,6,機車竊盜
107年 6月/ 嘉義縣 ,9,3,機車竊盜
107年 6月/ 屏東縣 ,25,20,機車竊盜
107年 6月/ 臺東縣 ,3,6,機車竊盜
107年 6月/ 花蓮縣 ,0,2,機車竊盜
107年 6月/ 澎湖縣 ,4,2,機車竊盜
107年 6月/ 基隆市 ,7,10,機車竊盜
107年 6月/ 新竹市 ,22,27,機車竊盜
107年 6月/ 嘉義市 ,3,6,機車竊盜
107年 6月/ 金門縣 ,0,0,機車竊盜
107年 6月/ 連江縣 ,0,0,機車竊盜
107年 7月/ 新北市 ,240,205,機車竊盜
107年 7月/ 臺北市 ,69,62,機車竊盜
107年 7月/ 桃園市 ,190,170,機車竊盜
107年 7月/ 臺中市 ,70,66,機車竊盜
107年 7月/ 臺南市 ,31,28,機車竊盜
107年 7月/ 高雄市 ,101,91,機車竊盜
107年 7月/ 宜蘭縣 ,10,5,機車竊盜
107年 7月/ 新竹縣 ,26,32,機車竊盜
107年 7月/ 苗栗縣 ,14,10,機車竊盜
107年 7月/ 彰化縣 ,22,20,機車竊盜
107年 7月/ 南投縣 ,13,13,機車竊盜
107年 7月/ 雲林縣 ,10,15,機車竊盜
107年 7月/ 嘉義縣 ,6,4,機車竊盜
107年 7月/ 屏東縣 ,20,19,機車竊盜
107年 7月/ 臺東縣 ,4,4,機車竊盜
107年 7月/ 花蓮縣 ,4,3,機車竊盜
107年 7月/ 澎湖縣 ,3,4,機車竊盜
107年 7月/ 基隆市 ,14,11,機車竊盜
107年 7月/ 新竹市 ,33,23,機車竊盜
107年 7月/ 嘉義市 ,5,5,機車竊盜
107年 7月/ 金門縣 ,6,0,機車竊盜
107年 7月/ 連江縣 ,0,0,機車竊盜
107年 8月/ 新北市 ,193,182,機車竊盜
107年 8月/ 臺北市 ,84,73,機車竊盜
107年 8月/ 桃園市 ,166,131,機車竊盜
107年 8月/ 臺中市 ,80,68,機車竊盜
107年 8月/ 臺南市 ,25,16,機車竊盜
107年 8月/ 高雄市 ,95,90,機車竊盜
107年 8月/ 宜蘭縣 ,11,14,機車竊盜
107年 8月/ 新竹縣 ,21,29,機車竊盜
107年 8月/ 苗栗縣 ,12,13,機車竊盜
107年 8月/ 彰化縣 ,16,12,機車竊盜
107年 8月/ 南投縣 ,22,16,機車竊盜
107年 8月/ 雲林縣 ,11,20,機車竊盜
107年 8月/ 嘉義縣 ,2,4,機車竊盜
107年 8月/ 屏東縣 ,17,14,機車竊盜
107年 8月/ 臺東縣 ,3,0,機車竊盜
107年 8月/ 花蓮縣 ,9,5,機車竊盜
107年 8月/ 澎湖縣 ,2,0,機車竊盜
107年 8月/ 基隆市 ,16,12,機車竊盜
107年 8月/ 新竹市 ,25,22,機車竊盜
107年 8月/ 嘉義市 ,4,2,機車竊盜
107年 8月/ 金門縣 ,2,0,機車竊盜
107年 8月/ 連江縣 ,0,1,機車竊盜
107年 9月/ 新北市 ,170,170,機車竊盜
107年 9月/ 臺北市 ,66,60,機車竊盜
107年 9月/ 桃園市 ,164,121,機車竊盜
107年 9月/ 臺中市 ,92,77,機車竊盜
107年 9月/ 臺南市 ,39,28,機車竊盜
107年 9月/ 高雄市 ,110,95,機車竊盜
107年 9月/ 宜蘭縣 ,7,6,機車竊盜
107年 9月/ 新竹縣 ,27,18,機車竊盜
107年 9月/ 苗栗縣 ,12,9,機車竊盜
107年 9月/ 彰化縣 ,28,16,機車竊盜
107年 9月/ 南投縣 ,11,12,機車竊盜
107年 9月/ 雲林縣 ,13,19,機車竊盜
107年 9月/ 嘉義縣 ,4,3,機車竊盜
107年 9月/ 屏東縣 ,24,17,機車竊盜
107年 9月/ 臺東縣 ,6,5,機車竊盜
107年 9月/ 花蓮縣 ,4,2,機車竊盜
107年 9月/ 澎湖縣 ,3,1,機車竊盜
107年 9月/ 基隆市 ,4,4,機車竊盜
107年 9月/ 新竹市 ,26,21,機車竊盜
107年 9月/ 嘉義市 ,6,4,機車竊盜
107年 9月/ 金門縣 ,1,0,機車竊盜
107年 9月/ 連江縣 ,0,1,機車竊盜
107年 10月/ 新北市 ,204,152,機車竊盜
107年 10月/ 臺北市 ,89,66,機車竊盜
107年 10月/ 桃園市 ,188,178,機車竊盜
107年 10月/ 臺中市 ,62,62,機車竊盜
107年 10月/ 臺南市 ,38,31,機車竊盜
107年 10月/ 高雄市 ,98,106,機車竊盜
107年 10月/ 宜蘭縣 ,4,5,機車竊盜
107年 10月/ 新竹縣 ,35,21,機車竊盜
107年 10月/ 苗栗縣 ,8,10,機車竊盜
107年 10月/ 彰化縣 ,22,15,機車竊盜
107年 10月/ 南投縣 ,7,8,機車竊盜
107年 10月/ 雲林縣 ,7,7,機車竊盜
107年 10月/ 嘉義縣 ,3,2,機車竊盜
107年 10月/ 屏東縣 ,18,21,機車竊盜
107年 10月/ 臺東縣 ,4,8,機車竊盜
107年 10月/ 花蓮縣 ,5,3,機車竊盜
107年 10月/ 澎湖縣 ,3,2,機車竊盜
107年 10月/ 基隆市 ,20,14,機車竊盜
107年 10月/ 新竹市 ,23,11,機車竊盜
107年 10月/ 嘉義市 ,2,5,機車竊盜
107年 10月/ 金門縣 ,0,0,機車竊盜
107年 10月/ 連江縣 ,0,0,機車竊盜
107年 11月/ 新北市 ,197,173,機車竊盜
107年 11月/ 臺北市 ,63,68,機車竊盜
107年 11月/ 桃園市 ,175,165,機車竊盜
107年 11月/ 臺中市 ,74,62,機車竊盜
107年 11月/ 臺南市 ,33,26,機車竊盜
107年 11月/ 高雄市 ,94,83,機車竊盜
107年 11月/ 宜蘭縣 ,8,5,機車竊盜
107年 11月/ 新竹縣 ,32,33,機車竊盜
107年 11月/ 苗栗縣 ,15,16,機車竊盜
107年 11月/ 彰化縣 ,13,15,機車竊盜
107年 11月/ 南投縣 ,17,13,機車竊盜
107年 11月/ 雲林縣 ,14,9,機車竊盜
107年 11月/ 嘉義縣 ,4,3,機車竊盜
107年 11月/ 屏東縣 ,17,11,機車竊盜
107年 11月/ 臺東縣 ,1,3,機車竊盜
107年 11月/ 花蓮縣 ,4,6,機車竊盜
107年 11月/ 澎湖縣 ,6,5,機車竊盜
107年 11月/ 基隆市 ,11,9,機車竊盜
107年 11月/ 新竹市 ,28,26,機車竊盜
107年 11月/ 嘉義市 ,6,3,機車竊盜
107年 11月/ 金門縣 ,1,0,機車竊盜
107年 11月/ 連江縣 ,0,0,機車竊盜
107年 12月/ 新北市 ,182,153,機車竊盜
107年 12月/ 臺北市 ,72,53,機車竊盜
107年 12月/ 桃園市 ,175,118,機車竊盜
107年 12月/ 臺中市 ,65,67,機車竊盜
107年 12月/ 臺南市 ,30,27,機車竊盜
107年 12月/ 高雄市 ,104,81,機車竊盜
107年 12月/ 宜蘭縣 ,13,7,機車竊盜
107年 12月/ 新竹縣 ,41,33,機車竊盜
107年 12月/ 苗栗縣 ,11,12,機車竊盜
107年 12月/ 彰化縣 ,9,15,機車竊盜
107年 12月/ 南投縣 ,14,9,機車竊盜
107年 12月/ 雲林縣 ,12,9,機車竊盜
107年 12月/ 嘉義縣 ,4,2,機車竊盜
107年 12月/ 屏東縣 ,18,11,機車竊盜
107年 12月/ 臺東縣 ,7,4,機車竊盜
