"","汽車竊盜概況",,單位：件 、人 
"汽車竊盜概況","發生數(件) ","破獲數(件) ","被害人(人) "
"107年 1月/ 新北市 ","        25","        53","         －"
"107年 1月/ 臺北市 ","        12","        11","         －"
"107年 1月/ 桃園市 ","        73","        69","         －"
"107年 1月/ 臺中市 ","        12","        13","         －"
"107年 1月/ 臺南市 ","        11","         3","         －"
"107年 1月/ 高雄市 ","        22","        17","         －"
"107年 1月/ 宜蘭縣 ","         6","         2","         －"
"107年 1月/ 新竹縣 ","         7","        12","         －"
"107年 1月/ 苗栗縣 ","         －","         1","         －"
"107年 1月/ 彰化縣 ","         9","         8","         －"
"107年 1月/ 南投縣 ","         9","         7","         －"
"107年 1月/ 雲林縣 ","         7","         6","         －"
"107年 1月/ 嘉義縣 ","         8","         7","         －"
"107年 1月/ 屏東縣 ","         8","         8","         －"
"107年 1月/ 臺東縣 ","         －","         －","         －"
"107年 1月/ 花蓮縣 ","         3","         5","         －"
"107年 1月/ 澎湖縣 ","         －","         －","         －"
"107年 1月/ 基隆市 ","         1","         －","         －"
"107年 1月/ 新竹市 ","         －","         －","         －"
"107年 1月/ 嘉義市 ","         6","         3","         －"
"107年 1月/ 金門縣 ","         2","         2","         －"
"107年 1月/ 連江縣 ","         －","         －","         －"
"107年 2月/ 新北市 ","        18","        30","         －"
"107年 2月/ 臺北市 ","         7","         7","         －"
"107年 2月/ 桃園市 ","        44","        29","         －"
"107年 2月/ 臺中市 ","        13","        14","         －"
"107年 2月/ 臺南市 ","         8","         8","         －"
"107年 2月/ 高雄市 ","        26","        20","         －"
"107年 2月/ 宜蘭縣 ","         5","         7","         －"
"107年 2月/ 新竹縣 ","        18","        11","         －"
"107年 2月/ 苗栗縣 ","        11","        10","         －"
"107年 2月/ 彰化縣 ","         8","         6","         －"
"107年 2月/ 南投縣 ","         4","         4","         －"
"107年 2月/ 雲林縣 ","        14","        14","         －"
"107年 2月/ 嘉義縣 ","        12","        11","         －"
"107年 2月/ 屏東縣 ","         5","         7","         －"
"107年 2月/ 臺東縣 ","         －","         －","         －"
"107年 2月/ 花蓮縣 ","         1","         －","         －"
"107年 2月/ 澎湖縣 ","         －","         －","         －"
"107年 2月/ 基隆市 ","         －","         －","         －"
"107年 2月/ 新竹市 ","         2","         1","         －"
"107年 2月/ 嘉義市 ","         2","         2","         －"
