area,population_density,statistic_yyy,site_id,people_total
120.0316,330,107,高雄市美濃區,39589
194.1584,67,107,高雄市六龜區,12939
124.034,49,107,高雄市甲仙區,6026
104.0036,113,107,高雄市杉林區,11795
95.6224,151,107,高雄市內門區,14437
194,10,107,高雄市茂林區,1994
928.98,5,107,高雄市桃源區,4311
252.9895,12,107,高雄市那瑪夏區,3148
29.408,3255,107,宜蘭縣宜蘭市,95732
11.3448,6385,107,宜蘭縣羅東鎮,72433
89.0196,446,107,宜蘭縣蘇澳鎮,39682
100.893,289,107,宜蘭縣頭城鎮,29133
101.4278,351,107,宜蘭縣礁溪鄉,35619
38.4769,632,107,宜蘭縣壯圍鄉,24302
111.9106,288,107,宜蘭縣員山鄉,32281
79.8573,662,107,宜蘭縣冬山鄉,52880
38.8671,1017,107,宜蘭縣五結鄉,39543
144.2238,148,107,宜蘭縣三星鄉,21359
657.5442,9,107,宜蘭縣大同鄉,6242
740.652,8,107,宜蘭縣南澳鄉,6015
46.8341,4000,107,新竹縣竹北市,187336
125.5193,227,107,新竹縣關西鎮,28537
72.1911,459,107,新竹縣新埔鎮,33104
53.5133,1801,107,新竹縣竹東鎮,96380
58.4303,1329,107,新竹縣湖口鄉,77668
66.3502,195,107,新竹縣橫山鄉,12942
46.3496,1229,107,新竹縣新豐鄉,56980
40.7858,491,107,新竹縣芎林鄉,20025
64.7871,226,107,新竹縣寶山鄉,14647
50.6676,184,107,新竹縣北埔鄉,9335
46.801,119,107,新竹縣峨眉鄉,5587
527.5795,18,107,新竹縣尖石鄉,9695
227.728,21,107,新竹縣五峰鄉,4774
37.8878,2328,107,苗栗縣苗栗市,88216
53.3205,1933,107,苗栗縣頭份市,103081
68.2473,662,107,苗栗縣苑裡鎮,45211
107.8486,315,107,苗栗縣通霄鎮,33992
37.5592,2293,107,苗栗縣竹南鎮,86130
75.8079,478,107,苗栗縣後龍鎮,36257
76.3153,219,107,苗栗縣卓蘭鎮,16732
90.8396,159,107,苗栗縣大湖鄉,14482
71.4523,465,107,苗栗縣公館鄉,33261
78.3805,228,107,苗栗縣銅鑼鄉,17871
165.4938,61,107,苗栗縣南庄鄉,10042
52.5046,203,107,苗栗縣頭屋鄉,10667
69.3424,234,107,苗栗縣三義鄉,16204
41.0758,171,107,苗栗縣西湖鄉,7033
47.9978,265,107,苗栗縣造橋鄉,12701
52.2964,126,107,苗栗縣三灣鄉,6613
79.4324,55,107,苗栗縣獅潭鄉,4331
614.5127,10,107,苗栗縣泰安鄉,6039
65.6947,3543,107,彰化縣彰化市,232729
40.038,3119,107,彰化縣員林市,124890
39.4625,2200,107,彰化縣鹿港鎮,86818
39.9345,2273,107,彰化縣和美鎮,90782
19.2547,1731,107,彰化縣北斗鎮,33321
32.0592,1727,107,彰化縣溪湖鎮,55365
34.6056,1200,107,彰化縣田中鎮,41541
92.8478,544,107,彰化縣二林鎮,50536
18.0856,932,107,彰化縣線西鄉,16860
22.3268,1663,107,彰化縣伸港鄉,37121
49.8934,943,107,彰化縣福興鄉,47059
29.3447,1339,107,彰化縣秀水鄉,39291
36.3469,1262,107,彰化縣花壇鄉,45853
38.0204,620,107,彰化縣芬園鄉,23583
30.7837,1201,107,彰化縣大村鄉,36968
38.6081,841,107,彰化縣埔鹽鄉,32460
20.9526,1658,107,彰化縣埔心鄉,34745
20.6382,1791,107,彰化縣永靖鄉,36962
36.1449,1186,107,彰化縣社頭鄉,42882
29.4449,515,107,彰化縣二水鄉,15153
24.0375,1137,107,彰化縣田尾鄉,27336
42.7508,714,107,彰化縣埤頭鄉,30508
91.3827,366,107,彰化縣芳苑鄉,33489
63.7406,262,107,彰化縣大城鄉,16717
42.1662,358,107,彰化縣竹塘鄉,15095
75.831,392,107,彰化縣溪州鄉,29760
71.6021,1390,107,南投縣南投市,99519
162.2227,495,107,南投縣埔里鎮,80340
104.0327,934,107,南投縣草屯鎮,97119
247.3339,221,107,南投縣竹山鎮,54540
49.7268,217,107,南投縣集集鎮,10804
83.0955,460,107,南投縣名間鄉,38265
141.8981,125,107,南投縣鹿谷鄉,17687
146.6541,100,107,南投縣中寮鄉,14680
121.3735,130,107,南投縣魚池鄉,15753
175.7042,106,107,南投縣國姓鄉,18629
106.8424,164,107,南投縣水里鄉,17496
1422.4188,11,107,南投縣信義鄉,16230
1273.5312,13,107,南投縣仁愛鄉,15969
93.7151,1158,107,雲林縣斗六市,108542
48.1505,925,107,雲林縣斗南鎮,44547
68.742,1031,107,雲林縣虎尾鎮,70844
49.7985,925,107,雲林縣西螺鎮,46064
49.0212,587,107,雲林縣土庫鎮,28794
41.4999,962,107,雲林縣北港鎮,39905
166.6059,188,107,雲林縣古坑鄉,31358
44.9973,423,107,雲林縣大埤鄉,19030
50.8502,564,107,雲林縣莿桐鄉,28703
37.6035,479,107,雲林縣林內鄉,17995
59.5625,451,107,雲林縣二崙鄉,26855
58.484,416,107,雲林縣崙背鄉,24345
80.1668,576,107,雲林縣麥寮鄉,46196
48.3562,305,107,雲林縣東勢鄉,14766
37.0552,348,107,雲林縣褒忠鄉,12912
54.0983,439,107,雲林縣臺西鄉,23730
71.5872,358,107,雲林縣元長鄉,25643
77.1189,301,107,雲林縣四湖鄉,23209
80.4612,339,107,雲林縣口湖鄉,27276
72.9582,347,107,雲林縣水林鄉,25308
66.8964,569,107,嘉義縣太保市,38069
49.5737,849,107,嘉義縣朴子市,42112
61.7307,434,107,嘉義縣布袋鎮,26773
64.1663,481,107,嘉義縣大林鎮,30896
85.4969,835,107,嘉義縣民雄鄉,71367
33.0463,442,107,嘉義縣溪口鄉,14592
66.0495,480,107,嘉義縣新港鄉,31723
62.2619,369,107,嘉義縣六腳鄉,22960
81.5821,301,107,嘉義縣東石鄉,24580
79.2925,230,107,嘉義縣義竹鄉,18242
54.3151,283,107,嘉義縣鹿草鄉,15358
69.1198,713,107,嘉義縣水上鄉,49316
129.5016,344,107,嘉義縣中埔鄉,44584
162.2256,219,107,嘉義縣竹崎鄉,35584
119.7571,161,107,嘉義縣梅山鄉,19282
117.5269,97,107,嘉義縣番路鄉,11430
173.2472,27,107,嘉義縣大埔鄉,4603
427.8471,13,107,嘉義縣阿里山鄉,5597
65.067,3068,107,屏東縣屏東市,199606
42.4331,1270,107,屏東縣潮州鎮,53893
29.4635,1616,107,屏東縣東港鎮,47613
136.763,225,107,屏東縣恆春鎮,30818
57.4679,879,107,屏東縣萬丹鄉,50514
39.8861,744,107,屏東縣長治鄉,29677
16.26,679,107,屏東縣麟洛鄉,11036
42.0187,525,107,屏東縣九如鄉,22061
68.9208,378,107,屏東縣里港鄉,26044
64.3493,400,107,屏東縣鹽埔鄉,25719
90.1522,270,107,屏東縣高樹鄉,24384
60.7315,339,107,屏東縣萬巒鄉,20593
81.8554,661,107,屏東縣內埔鄉,54115
29.0732,589,107,屏東縣竹田鄉,17119
59.0102,169,107,屏東縣新埤鄉,9981
57.7347,421,107,屏東縣枋寮鄉,24323
38.3109,910,107,屏東縣新園鄉,34880
31.2659,496,107,屏東縣崁頂鄉,15519
15.6233,1139,107,屏東縣林邊鄉,17795
18.97,561,107,屏東縣南州鄉,10639
30.9842,617,107,屏東縣佳冬鄉,19121
6.8018,1818,107,屏東縣琉球鄉,12364
49.8517,172,107,屏東縣車城鄉,8577
142.2013,56,107,屏東縣滿州鄉,7968
17.2697,318,107,屏東縣枋山鄉,5498
196.3965,39,107,屏東縣三地門鄉,7697
278.796,12,107,屏東縣霧臺鄉,3354
78.7008,87,107,屏東縣瑪家鄉,6829
118.6266,45,107,屏東縣泰武鄉,5392
167.7756,44,107,屏東縣來義鄉,7433
