statistic_yyy,site_id,people_total
107,彰化縣埔鹽鄉,32460
107,彰化縣埔心鄉,34745
107,彰化縣永靖鄉,36962
107,彰化縣社頭鄉,42882
107,彰化縣二水鄉,15153
107,彰化縣田尾鄉,27336
107,彰化縣埤頭鄉,30508
107,彰化縣芳苑鄉,33489
107,彰化縣大城鄉,16717
107,彰化縣竹塘鄉,15095
107,彰化縣溪州鄉,29760
107,南投縣南投市,99519
107,南投縣埔里鎮,80340
107,南投縣草屯鎮,97119
107,南投縣竹山鎮,54540
107,南投縣集集鎮,10804
107,南投縣名間鄉,38265
107,南投縣鹿谷鄉,17687
107,南投縣中寮鄉,14680
107,南投縣魚池鄉,15753
107,南投縣國姓鄉,18629
107,南投縣水里鄉,17496
107,南投縣信義鄉,16230
107,南投縣仁愛鄉,15969
107,雲林縣斗六市,108542
107,雲林縣斗南鎮,44547
107,雲林縣虎尾鎮,70844
107,雲林縣西螺鎮,46064
107,雲林縣土庫鎮,28794
107,雲林縣北港鎮,39905
107,雲林縣古坑鄉,31358
107,雲林縣大埤鄉,19030
107,雲林縣莿桐鄉,28703
107,雲林縣林內鄉,17995
107,雲林縣二崙鄉,26855
107,雲林縣崙背鄉,24345
107,雲林縣麥寮鄉,46196
107,雲林縣東勢鄉,14766
107,雲林縣褒忠鄉,12912
107,雲林縣臺西鄉,23730
107,雲林縣元長鄉,25643
107,雲林縣四湖鄉,23209
107,雲林縣口湖鄉,27276
107,雲林縣水林鄉,25308
107,嘉義縣太保市,38069
107,嘉義縣朴子市,42112
107,嘉義縣布袋鎮,26773
107,嘉義縣大林鎮,30896
107,嘉義縣民雄鄉,71367
107,嘉義縣溪口鄉,14592
107,嘉義縣新港鄉,31723
107,嘉義縣六腳鄉,22960
107,嘉義縣東石鄉,24580
107,嘉義縣義竹鄉,18242
107,嘉義縣鹿草鄉,15358
107,嘉義縣水上鄉,49316
107,嘉義縣中埔鄉,44584
107,嘉義縣竹崎鄉,35584
107,嘉義縣梅山鄉,19282
107,嘉義縣番路鄉,11430
107,嘉義縣大埔鄉,4603
107,嘉義縣阿里山鄉,5597
107,屏東縣屏東市,199606
107,屏東縣潮州鎮,53893
107,屏東縣東港鎮,47613
107,屏東縣恆春鎮,30818
107,屏東縣萬丹鄉,50514
107,屏東縣長治鄉,29677
107,屏東縣麟洛鄉,11036
107,屏東縣九如鄉,22061
107,屏東縣里港鄉,26044
107,屏東縣鹽埔鄉,25719
107,屏東縣高樹鄉,24384
107,屏東縣萬巒鄉,20593
